"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Near Duplicate Match","No. Near Duplicates","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://veteranstransitionsupport.org/","678","125","5.424","51.096","Fairly Hard","","","","","","","","","","en-US","fbf16d04611f4a695dc97009642e1689","Indexable",""
"https://veteranstransitionsupport.org/donate/","228","51","4.471","30.129","Hard","","","","","","","","","","en-US","e108e725d23f849640a92e4953f2fac2","Indexable",""
"https://veteranstransitionsupport.org/osha-30-training-for-veterans/","280","53","5.283","30.460","Hard","","","","","","","","","","en-US","13a5be11b064db5c075ede0aa2427485","Indexable",""
"https://veteranstransitionsupport.org/about-us/","716","101","7.089","39.301","Hard","","","","","","","","","","en-US","82ccf6e6dc9a4f6ac7f9e576d0824bb","Indexable",""
"https://veteranstransitionsupport.org/no-cost-coursera/","153","34","4.500","52.420","Fairly Hard","","","","","","","","","","en-US","ab98a95866bec875b1ad812c079420d2","Indexable",""
"https://veteranstransitionsupport.org/events/","4042","825","4.899","100.000","Very Easy","","","","","","","","","","en-US","5682e7180b120c0905116214765e3fc0","Indexable",""
"https://veteranstransitionsupport.org/education-counseling/","148","29","5.103","33.598","Hard","","","","","","","","","","en-US","64dbb408b814be81b90339b7aad88776","Indexable",""
"https://veteranstransitionsupport.org/financials/","110","27","4.074","71.185","Fairly Easy","","","","","","","","","","en-US","b335866b4a5e8e9280b3233595560022","Indexable",""
"https://veteranstransitionsupport.org/no-cost-lean-six-sigma-yellow-belt-lssyb/","133","30","4.433","52.854","Fairly Hard","","","","","","","","","","en-US","d884a73bca64b60e57cd6bc1355244c7","Indexable",""
"https://veteranstransitionsupport.org/va-work-study-program/","227","44","5.159","45.815","Hard","","","","","","","","","","en-US","17c7456a3642e9fbdb2fe473cfc15009","Indexable",""
"https://veteranstransitionsupport.org/veteran-resources/","814","164","4.963","47.251","Hard","","","","","","","","","","en-US","756f07f890bf5ddbb0d1207cea4f1991","Indexable",""
"https://veteranstransitionsupport.org/board-members/","43","21","2.048","33.589","Hard","","","","","","","","","","en-US","3a26da2cf92550f3f50a6ba395c7ef51","Indexable",""
"https://veteranstransitionsupport.org/donors-sponsors/","80","21","3.810","68.666","Normal","","","","","","","","","","en-US","f10f74dee8263a6a20e997c741a0dd35","Indexable",""
"https://veteranstransitionsupport.org/va-work-study-program-2/","167","34","4.912","60.512","Normal","","","","","","","","","","en-US","6c0ee41412b944511753258973d742d2","Indexable",""
"https://veteranstransitionsupport.org/va-disability-filing/","222","35","6.343","60.540","Normal","","","","","","","","","","en-US","d44652cedfba2b10901f9ec208ed95f9","Indexable",""
"https://veteranstransitionsupport.org/event/pre-discharge-va-disability-claim-prep-active-duty-zoom-may-19/","331","78","4.244","67.321","Normal","","","","","","","","","","en-US","9b52378d5838ea0e4b3ccd01f9140a92","Indexable",""
"https://veteranstransitionsupport.org/volunteer-team/","20","12","1.667","23.253","Very Hard","","","","","","","","","","en-US","894ce74b3a44d750a0ae7dac18ea0277","Indexable",""
"https://veteranstransitionsupport.org/event/zoom-osha-30-hour-construction-safety-course-may-18-21-2026-250/","266","69","3.855","69.025","Normal","","","","","","","","","","en-US","d216f63ee0b9abca5b80b27dd370632e","Indexable",""
"https://veteranstransitionsupport.org/va-home-loans/","137","22","6.227","46.752","Hard","","","","","","","","","","en-US","2a8491cf3a6701a43accb12ead351cd7","Indexable",""
"https://veteranstransitionsupport.org/testimonies/","1785","236","7.564","84.130","Easy","","","","","","","","","","en-US","491a733ca9902c06fd0e8d96e65de802","Indexable",""
"https://veteranstransitionsupport.org/vts-programs/","595","82","7.256","49.607","Hard","","","","","","","","","","en-US","d09b7bd06fe8a218929780f571ee2f39","Indexable",""
"https://veteranstransitionsupport.org/no-cost-osha-10-safety-training/","143","29","4.931","62.210","Normal","","","","","","","","","","en-US","749ea26c0fd87658e9f05a49d673d855","Indexable",""
"https://veteranstransitionsupport.org/our-instructors/","73","27","2.704","14.030","Very Hard","","","","","","","","","","en-US","93ff4c4e81e8674e92802f370d93efe6","Indexable",""
"https://veteranstransitionsupport.org/contact-us/","41","21","1.952","85.175","Easy","","","","","","","","","","en-US","be500efd6bd187ee4647626ce75e2d64","Indexable",""
"https://veteranstransitionsupport.org/event/free-on-line-coursera-certification-courses-for-military-and-spouse/","103","45","2.289","47.632","Hard","","","","","","","","","","en-US","e5fa5e8e11b4fe0369a1800cad7f4a4c","Indexable",""
"https://veteranstransitionsupport.org/gallery/","10","7","1.429","61.565","Normal","","","","","","","","","","en-US","d0946cc65591fff4d65b8f19a8857bf6","Indexable",""
"https://veteranstransitionsupport.org/volunteer/","275","52","5.288","54.109","Fairly Hard","","","","","","","","","","en-US","394b1d511b70c06aa78f26fcd0982a8d","Indexable",""
"https://veteranstransitionsupport.org/leansixsigmagreenbelt-for-veterans/","223","49","4.551","47.811","Hard","","","","","","","","","","en-US","1c1e0ad7a874981e6c90d96bfaf15af5","Indexable",""
"https://veteranstransitionsupport.org/privacy-policy/","604","130","4.646","60.652","Normal","","","","","","","","","","en-US","1d74490bca8474ec67095a09d6567012","Indexable",""
"https://veteranstransitionsupport.org/events-calendar/","11","7","1.571","66.804","Normal","","","","","","","","","","en-US","5390edfb24f188bc9104722409f24d8b","Indexable",""
"https://veteranstransitionsupport.org/osha-30-safety-training/","9","6","1.500","73.713","Fairly Easy","","","","","","","","","","en-US","40196608dbaf5ee9db1ebdcd1783e10e","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-08/","408","100","4.080","84.710","Easy","","","","","","","","","","en-US","186ec76d2753c302348e57a9fb2e78b8","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-28/","143","58","2.466","74.770","Fairly Easy","","","","","","","","","","en-US","85ea01c1f09e1405c86213fe4e463979","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-16/","143","58","2.466","74.770","Fairly Easy","","","","","","","","","","en-US","904a4bd995aa30de4ba093ea6ab2f7f6","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-04/","641","141","4.546","78.554","Fairly Easy","","","","","","","","","","en-US","a9ae4ed187ea6569ef483bda9f7d9536","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/may-4-veteran-career-transition-brief-jobs-resources/","374","78","4.795","54.484","Fairly Hard","","","","","","","","","","en-US","810b761cfc6febb00dc2a57daac8a143","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-24/","143","58","2.466","74.770","Fairly Easy","","","","","","","","","","en-US","7ec9028cbcf7eb3ad475230182105c46","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-12/","143","58","2.466","74.770","Fairly Easy","","","","","","","","","","en-US","c44f241bcd32620d08ce7e9ce2fd0f55","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/250-osha-30-hr-construction-safety-in-person-only-may-2-3-9-10-2026/","320","71","4.507","85.142","Easy","","","","","","","","","","en-US","25c5c9639af0c5fc2c4a944da3944e1","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-31/","256","77","3.325","93.745","Very Easy","","","","","","","","","","en-US","fdc7e4add7bb98af62c1648eb78103b7","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/may-4-veteran-career-transition-brief-jobs-resources-on-zoom/","371","76","4.882","54.799","Fairly Hard","","","","","","","","","","en-US","9b02d143fa7cf55d3e9970604b42607d","Indexable",""
"https://veteranstransitionsupport.org/event/free-lean-six-sigma-yellow-belt-live-instructor-led-zoom-may-30-2026/","326","79","4.127","65.107","Normal","","","","","","","","","","en-US","b09de43aa3433c4e32c26e88863c11c3","Indexable",""
"https://veteranstransitionsupport.org/events/month/2026-04/","2735","576","4.748","100.000","Very Easy","","","","","","","","","","en-US","e59f656cfb71a0c6e5dcf185102e8925","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-may-4-8-8-5pm-pst/","302","69","4.377","75.493","Fairly Easy","","","","","","","","","","en-US","bb420470031c70f91610d84a71e3e095","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-09/","236","69","3.420","87.576","Easy","","","","","","","","","","en-US","623834a08ac469610de025340cbf9274","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-29/","143","58","2.466","74.770","Fairly Easy","","","","","","","","","","en-US","3668dfc2d7829a6b547bfaf82f33361a","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-05/","408","100","4.080","84.710","Easy","","","","","","","","","","en-US","a8b24c6a2c092941f9264bd3620cc308","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-17/","143","58","2.466","74.770","Fairly Easy","","","","","","","","","","en-US","e2110872ee6ac38063f95ac7211140e9","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-25/","143","58","2.466","74.770","Fairly Easy","","","","","","","","","","en-US","b62bff296ecad2a1227deacb08a1e296","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-13/","143","58","2.466","74.770","Fairly Easy","","","","","","","","","","en-US","965423eb7bc73a4ed7d8fc59104fb751","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-01/","265","74","3.581","67.202","Normal","","","","","","","","","","en-US","1a35ec7626bbe31b1377db559b812013","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/free-osha-10-hour-safety-training-may-02-03-san-marcos-ca/","473","105","4.505","65.078","Normal","","","","","","","","","","en-US","bea92140a362d52b4286bfa42e7ed63c","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-21/","196","68","2.882","85.210","Easy","","","","","","","","","","en-US","356a1c48a5267d14cbcb222327452eb6","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-05-30-31-06-6-7-8-5pm-pst/","300","68","4.412","76.585","Fairly Easy","","","","","","","","","","en-US","62e6a5c1b0da9915243349593d0b1ee9","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-20/","196","68","2.882","85.210","Easy","","","","","","","","","","en-US","fe145bebb28e0bde6dcd542b57d63efb","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/free-osha-accident-investigation-recordkeeping-course-live-zoom-may-1/","392","87","4.506","46.011","Hard","","","","","","","","","","en-US","bf6fedc44f80580c019fcaf7a9cfe5e8","Indexable",""
"https://veteranstransitionsupport.org/event/250-osha-30-hr-general-safety-live-instruction-04-11-12-18-19-2026/","301","74","4.068","67.796","Normal","","","","","","","","","","en-US","59831d85171b2e09fb671d212a7d02ee","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-06/","333","91","3.659","93.115","Very Easy","","","","","","","","","","en-US","f36aa874db1bfe380f066cd87aad5c48","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-18/","198","70","2.829","86.037","Easy","","","","","","","","","","en-US","2f255cbdf4cf47789e34bb4492c3e33e","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/today/","143","58","2.466","74.770","Fairly Easy","","","","","","","","","","en-US","c7b0a877a8a79d461745dcfd0775cb4e","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-26/","143","58","2.466","74.770","Fairly Easy","","","","","","","","","","en-US","827bbcf754ad7025e17d57030601df09","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-10/","211","67","3.149","86.562","Easy","","","","","","","","","","en-US","e328e1586fc6f9c46bfa6395c9ae7569","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-14/","143","58","2.466","74.770","Fairly Easy","","","","","","","","","","en-US","52a38f8cf6a83dadda4f95c080a209cd","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/month/2026-06/","3807","785","4.850","100.000","Very Easy","","","","","","","","","","en-US","d32d750b8a9eed2600cda3dcbfe29376","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-02/","419","110","3.809","80.410","Easy","","","","","","","","","","en-US","9229a10334417e26ae6e50fa39ce607e","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-22/","143","58","2.466","74.770","Fairly Easy","","","","","","","","","","en-US","c737b98e4ff4de4f319e3d5f079d62f4","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-may-30-31-jun-6-7-8-5pmpst/","296","65","4.554","74.455","Fairly Easy","","","","","","","","","","en-US","2a53f043b82eff683dc699d181538b96","Indexable",""
"https://veteranstransitionsupport.org/events/2026-04-30/","164","56","2.929","95.017","Very Easy","","","","","","","","","","en-US","42d18553624c2fcb75e91e4cc7b2c9fd","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-19/","249","79","3.152","85.739","Easy","","","","","","","","","","en-US","a77acabe497367993ac777f653392f8b","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-27/","143","58","2.466","74.770","Fairly Easy","","","","","","","","","","en-US","9b3b0f0656bde76470ce9f169d381481","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-07/","408","100","4.080","84.710","Easy","","","","","","","","","","en-US","297970d986d1f9833c4cb00347e5a2e1","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/","842","193","4.363","90.679","Very Easy","","","","","","","","","","en-US","30fcba8e22bcc2260fb7d12258359c08","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-15/","143","58","2.466","74.770","Fairly Easy","","","","","","","","","","en-US","a9f4a85d8cac8604e6f4650adfca8d2e","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/free-lean-six-sigma-yellow-belt-live-instructor-led-zoom-may-4-2026/","331","80","4.138","65.640","Normal","","","","","","","","","","en-US","a70a90cf9627eb5b335f2b23b002ddfe","Indexable",""
"https://veteranstransitionsupport.org/events/month/","3942","813","4.849","100.000","Very Easy","","","","","","","","","","en-US","dfc977f268416793a02e07eea133724d","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-03/","415","106","3.915","79.325","Fairly Easy","","","","","","","","","","en-US","1ea3232fdbdf109342d2e4edaf39cb49","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-23/","143","58","2.466","74.770","Fairly Easy","","","","","","","","","","en-US","e37bda2d79e9770c2848d6d7e18ff3d9","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-11/","143","58","2.466","74.770","Fairly Easy","","","","","","","","","","en-US","b9114a5be24a70ed58a02c9b9fe1b3ed","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-30/","412","107","3.850","85.267","Easy","","","","","","","","","","en-US","6bd8ec8d081137823d2a83396a77fbb","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/may-30-veteran-career-transition-brief-jobs-resources/","368","78","4.718","55.376","Fairly Hard","","","","","","","","","","en-US","e0dc966665f150db134e06ac393b65d","Indexable",""
"https://veteranstransitionsupport.org/organizer/veterans-transition-support-vts/","928","204","4.549","81.243","Easy","","","","","","","","","","en-US","b798c1844ea293d904af1707c185da9","Indexable",""
"https://veteranstransitionsupport.org/venue/vts/","474","103","4.602","78.298","Fairly Easy","","","","","","","","","","en-US","e218b81f88332ee98f2d88e41d492d01","Indexable",""
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-12","843","193","4.368","91.007","Very Easy","","","","","","","","","","en-US","1c593627f6e9eea34517c738b10ba6f0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-24","869","197","4.411","89.623","Easy","","","","","","","","","","en-US","7daa72be70baf7ca75ef526e053128c9","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-04","974","210","4.638","87.996","Easy","","","","","","","","","","en-US","b8e31cb61759451882f631f8869188e0","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-16","843","193","4.368","90.906","Very Easy","","","","","","","","","","en-US","a9b76da5ec0d63d1508310d2986dbdbc","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-28","869","197","4.411","89.623","Easy","","","","","","","","","","en-US","c16e33c7cbf1b8e7fc4adf38946e1495","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-08","943","207","4.556","92.491","Very Easy","","","","","","","","","","en-US","9bf6d2a1fa9db2cbc8045bbab7f04930","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/month/2026-05/","4066","826","4.923","100.000","Very Easy","","","","","","","","","","en-US","60c455e6911afb675844dcd5f1f47d46","Non-Indexable","Canonicalised"
