"Address","Occurrences","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","HTTP Canonical","Indexability","Indexability Status"
"https://veteranstransitionsupport.org/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/plugins/elementor-pro/assets/js/frontend.min.js?ver=3.35.1","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/js/view/general.min.js?ver=6.6.4","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=6.6.4","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/background-css/1/veteranstransitionsupport.org/wp-content/cache/min/1/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-styles.css?ver=1778678887&wpr_t=1778717446","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/donate/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/donate/","","Indexable",""
"https://veteranstransitionsupport.org/osha-30-training-for-veterans/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/osha-30-training-for-veterans/","","Indexable",""
"https://veteranstransitionsupport.org/about-us/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/about-us/","","Indexable",""
"https://veteranstransitionsupport.org/no-cost-coursera/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/no-cost-coursera/","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.min.css?ver=4.0.8","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/events/","1","follow, index","","","https://veteranstransitionsupport.org/events/","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-float.min.css?ver=4.0.8","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/min/1/wp-content/plugins/the-events-calendar/build/css/tribe-events-single-skeleton.css?ver=1778678887","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/min/1/wp-content/uploads/essential-addons-elementor/eael-1478.js?ver=1778247839","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/uploads/2025/01/e5b8aef5-e35e-4b31-b284-b0f0bb75ea2d-1024x1024.jpg","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/min/1/wp-content/plugins/the-events-calendar/common/build/css/variables-skeleton.css?ver=1778678887","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/education-counseling/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/education-counseling/","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/background-css/1/veteranstransitionsupport.org/wp-content/uploads/elementor/css/post-1478.css?ver=1778678887&wpr_t=1778717446","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/financials/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/financials/","","Indexable",""
"https://veteranstransitionsupport.org/no-cost-lean-six-sigma-yellow-belt-lssyb/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/no-cost-lean-six-sigma-yellow-belt-lssyb/","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/plugins/wp-rocket/assets/js/lazyload/17.8.3/lazyload.min.js","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-includes/js/jquery/ui/core.min.js?ver=1.13.3","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/fonts/1/google-fonts/css/6/b/5/f5eede8ed501f1f720088ff23c87c.css","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/themes/blocksy/static/bundle/tribe-events.min.css?ver=2.1.41","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=1778678887","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInLeft.min.css?ver=4.0.8","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-includes/js/jquery/jquery.min.js?ver=3.7.1","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=1778678887","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/uploads/elementor/css/post-689.css?ver=1778678886","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/va-work-study-program/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/va-work-study-program/","","Indexable",""
"https://veteranstransitionsupport.org/veteran-resources/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/veteran-resources/","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=4.0.8","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/plugins/elementor/assets/lib/swiper/v8/swiper.min.js?ver=8.4.5","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/plugins/elementor-pro/assets/css/widget-form.min.css?ver=3.35.1","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/board-members/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/board-members/","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInDown.min.css?ver=4.0.8","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/uploads/2025/01/Image20250110021710-1024x1024.png","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/donors-sponsors/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/donors-sponsors/","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/fonts/1/google-fonts/css/2/1/9/0bb0a665247acb0d3644dcc305aa6.css","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/min/1/wp-content/plugins/events-calendar-pro/build/css/tribe-events-pro-mini-calendar-block.css?ver=1778678887","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/min/1/wp-content/uploads/blocksy/css/global.css?ver=1778678887","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/plugins/elementor-pro/assets/js/elements-handlers.min.js?ver=3.35.1","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/va-work-study-program-2/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/va-work-study-program-2/","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/min/1/wp-content/plugins/elementskit-lite/widgets/init/assets/js/elementor.js?ver=1778247839","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/va-disability-filing/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/va-disability-filing/","","Indexable",""
"https://veteranstransitionsupport.org/event/pre-discharge-va-disability-claim-prep-active-duty-zoom-may-19/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/event/pre-discharge-va-disability-claim-prep-active-duty-zoom-may-19/","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=4.0.8","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/volunteer-team/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/volunteer-team/","","Indexable",""
"https://veteranstransitionsupport.org/wp-includes/js/dist/hooks.min.js?ver=dd5603f07f9220ed27f1","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/min/1/wp-content/plugins/elementskit-lite/widgets/init/assets/js/widget-scripts.js?ver=1778247839","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInRight.min.css?ver=4.0.8","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/min/1/wp-content/plugins/events-calendar-pro/build/css/events-virtual-single-block.css?ver=1778678887","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=4.0.8","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=4.0.8","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/plugins/elementor/assets/css/widget-spacer.min.css?ver=4.0.8","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/min/1/wp-content/plugins/happy-elementor-addons/assets/fonts/style.min.css?ver=1778678887","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/themes/blocksy/static/bundle/elementor-frontend.min.css?ver=2.1.41","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/event/zoom-osha-30-hour-construction-safety-course-may-18-21-2026-250/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/event/zoom-osha-30-hour-construction-safety-course-may-18-21-2026-250/","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=4.0.8","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/themes/blocksy/static/bundle/no-scripts.min.css","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/va-home-loans/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/va-home-loans/","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/uploads/2025/01/barbequecookout-scaled-1024x858.jpeg","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/min/1/wp-content/plugins/the-events-calendar/build/css/integrations/plugins/elementor/widgets/widget-base.css?ver=1778678887","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/testimonies/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/testimonies/","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/plugins/elementor-pro/assets/css/conditionals/transitions.min.css?ver=3.35.1","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/vts-programs/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/vts-programs/","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/min/1/wp-content/plugins/elementskit-lite/widgets/init/assets/css/responsive.css?ver=1778678887","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/no-cost-osha-10-safety-training/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/no-cost-osha-10-safety-training/","","Indexable",""
"https://veteranstransitionsupport.org/our-instructors/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/our-instructors/","","Indexable",""
"https://veteranstransitionsupport.org/contact-us/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/contact-us/","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=4.0.8","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min.js?ver=3.35.1","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/plugins/elementor-pro/assets/css/widget-call-to-action.min.css?ver=3.35.1","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/uploads/2025/01/logo.png","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/event/free-on-line-coursera-certification-courses-for-military-and-spouse/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/event/free-on-line-coursera-certification-courses-for-military-and-spouse/","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/min/1/wp-content/plugins/the-events-calendar/common/build/css/variables-full.css?ver=1778678887","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/gallery/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/gallery/","","Indexable",""
"https://veteranstransitionsupport.org/volunteer/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/volunteer/","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/min/1/wp-content/uploads/essential-addons-elementor/eael-1478.css?ver=1778678887","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/min/1/wp-content/themes/blocksy/static/bundle/main.min.css?ver=1778678887","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/uploads/2025/01/logo-1024x777.png","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/leansixsigmagreenbelt-for-veterans/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/leansixsigmagreenbelt-for-veterans/","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=4.0.8","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/min/1/wp-content/plugins/the-events-calendar/build/css/tribe-events-single-full.css?ver=1778678887","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-includes/js/dist/i18n.min.js?ver=c26c3dc7bed366793375","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/privacy-policy/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/privacy-policy/","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/uploads/2025/01/Image20250110021434.png","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/uploads/2026/03/new-certificate-image-comp.png","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css?ver=4.0.8","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/uploads/2026/03/ChatGPT-Image-Feb-28_-2026_-01_17_51-AM.png","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/background-css/1/veteranstransitionsupport.org/wp-content/uploads/elementor/css/post-1823.css?ver=1778680543&wpr_t=1778713230","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/uploads/2026/03/VTS-Donation-page-Teaching-photo.png","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/fonts/1/google-fonts/css/9/4/a/c83161fbf78b5ca8a360d662cfb8f.css","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/background-css/1/veteranstransitionsupport.org/wp-content/cache/min/1/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-styles.css?ver=1778678887&wpr_t=1778713230","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/uploads/2025/01/Image20250110014158.jpg","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/events-calendar/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/events-calendar/","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/background-css/1/veteranstransitionsupport.org/wp-content/uploads/elementor/css/post-1297.css?ver=1778679080&wpr_t=1778713610","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/background-css/1/veteranstransitionsupport.org/wp-content/cache/min/1/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-styles.css?ver=1778678887&wpr_t=1778713610","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/background-css/1/veteranstransitionsupport.org/wp-content/cache/min/1/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-styles.css?ver=1778678887&wpr_t=1778716312","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/uploads/2025/01/Image20250110051717-1024x768.jpg","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/osha-30-safety-training/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/osha-30-safety-training/","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/background-css/1/veteranstransitionsupport.org/wp-content/uploads/elementor/css/post-1464.css?ver=1778679032&wpr_t=1778710364","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/background-css/1/veteranstransitionsupport.org/wp-content/uploads/elementor/css/post-215.css?ver=1778679083&wpr_t=1778716312","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/background-css/1/veteranstransitionsupport.org/wp-content/cache/min/1/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-styles.css?ver=1778678887&wpr_t=1778710364","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/plugins/events-calendar-pro/vendor/nanoscroller/jquery.nanoscroller.min.js?ver=7.7.14","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/uploads/2026/05/525b7d075e19c0e5d4ffd6721c124a81-95b03Z.tmp_.jpg","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/plugins/events-calendar-pro/build/css/views-print.css?ver=7.7.14","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-08/","1","follow, index","","","https://veteranstransitionsupport.org/events/","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-28/","1","follow, index","","","https://veteranstransitionsupport.org/events/","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-16/","1","follow, index","","","https://veteranstransitionsupport.org/events/","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/wp-content/uploads/2026/04/3de140015e81cb41560493513fd4118a-y2yG8j.tmp_.jpg","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/min/1/wp-content/plugins/the-events-calendar/build/css/views-skeleton.css?ver=1778679136","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/min/1/wp-content/plugins/events-calendar-pro/build/css/events-virtual-skeleton.css?ver=1778679136","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-04/","1","follow, index","","","https://veteranstransitionsupport.org/events/","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/may-4-veteran-career-transition-brief-jobs-resources/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/event/may-4-veteran-career-transition-brief-jobs-resources/","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/cache/min/1/wp-content/plugins/the-events-calendar/build/css/views-full.css?ver=1778679136","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-24/","1","follow, index","","","https://veteranstransitionsupport.org/events/","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-12/","1","follow, index","","","https://veteranstransitionsupport.org/events/","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/250-osha-30-hr-construction-safety-in-person-only-may-2-3-9-10-2026/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/event/250-osha-30-hr-construction-safety-in-person-only-may-2-3-9-10-2026/","","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-31/","1","follow, index","","","https://veteranstransitionsupport.org/events/","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/may-4-veteran-career-transition-brief-jobs-resources-on-zoom/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/event/may-4-veteran-career-transition-brief-jobs-resources-on-zoom/","","Indexable",""
"https://veteranstransitionsupport.org/event/free-lean-six-sigma-yellow-belt-live-instructor-led-zoom-may-30-2026/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/event/free-lean-six-sigma-yellow-belt-live-instructor-led-zoom-may-30-2026/","","Indexable",""
"https://veteranstransitionsupport.org/events/month/2026-04/","1","follow, index","","","https://veteranstransitionsupport.org/events/","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-may-4-8-8-5pm-pst/","1","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-may-4-8-8-5pm-pst/","","Indexable",""
"https://veteranstransitionsupport.org/wp-content/uploads/2026/05/4a6e4dd884c09ccbdad46e8f34a386c9-e07eSl.tmp_.jpg","0","","","","","","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-09/","1","follow, index","","","https://veteranstransitionsupport.org/events/","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-29/","1","follow, index","","","https://veteranstransitionsupport.org/events/","","Non-Indexable","Canonicalised"
