"Address","Title 1","Occurrences","HTML hreflang 1","HTML hreflang 1 URL","HTTP hreflang 1","HTTP hreflang 1 URL","Sitemap hreflang 1","Sitemap hreflang 1 URL","Indexability","Indexability Status"
"https://veteranstransitionsupport.org/","Military To Civilian Career Transition & Job Training | San Diego","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/donate/","Military Transition Programs For Veterans | VTS Nonprofit","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/osha-30-training-for-veterans/","OSHA 30 Training For Veterans, Get Certified For $250","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/about-us/","About Veterans Transition Support | Veteran Nonprofit","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/no-cost-coursera/","Military Transition Programs For Veterans | VTS Nonprofit","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/events/","Events for May 2026 – Veterans Transition Support (VTS)","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/education-counseling/","Military Transition Programs For Veterans | VTS Nonprofit","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/financials/","Military Transition Programs For Veterans | VTS Nonprofit","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/no-cost-lean-six-sigma-yellow-belt-lssyb/","Military Transition Programs For Veterans | VTS Nonprofit","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/va-work-study-program/","Military Transition Programs For Veterans | VTS Nonprofit","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/veteran-resources/","Military Transition Programs For Veterans | VTS Nonprofit","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/board-members/","Military Transition Programs For Veterans | VTS Nonprofit","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/donors-sponsors/","Military Transition Programs For Veterans | VTS Nonprofit","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/va-work-study-program-2/","VA Work Study Program For Veterans","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/va-disability-filing/","Military Transition Programs For Veterans | VTS Nonprofit","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/event/pre-discharge-va-disability-claim-prep-active-duty-zoom-may-19/","Pre-Discharge VA Disability Claim Prep (Active Duty Zoom) – May 19 - Veterans Transition Support (VTS)","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/volunteer-team/","Military Transition Programs For Veterans | VTS Nonprofit","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/event/zoom-osha-30-hour-construction-safety-course-may-18-21-2026-250/","ZOOM OSHA 30-Hour Construction Safety Course MAY 18-21 2026 $250 - Veterans Transition Support (VTS)","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/va-home-loans/","Military Transition Programs For Veterans | VTS Nonprofit","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/testimonies/","Military Transition Programs For Veterans | VTS Nonprofit","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/vts-programs/","Military Transition Programs For Veterans | VTS Nonprofit","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/no-cost-osha-10-safety-training/","Military Transition Programs For Veterans | VTS Nonprofit","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/our-instructors/","Military Transition Programs For Veterans | VTS Nonprofit","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/contact-us/","Contact Us For Veteran Transition Training & Vital Resources","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/event/free-on-line-coursera-certification-courses-for-military-and-spouse/","Free On-Line Coursera Certification Courses For Military And Spouse - Veterans Transition Support (VTS)","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/gallery/","Military Transition Programs For Veterans | VTS Nonprofit","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/volunteer/","Military Transition Programs For Veterans | VTS Nonprofit","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/leansixsigmagreenbelt-for-veterans/","Lean Six Sigma Green Belt For Veterans In Transition","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/privacy-policy/","Military Transition Programs For Veterans | VTS Nonprofit","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/events-calendar/","Military Transition Programs For Veterans | VTS Nonprofit","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/osha-30-safety-training/","Military Transition Programs For Veterans | VTS Nonprofit","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-08/","Events for May 8, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-28/","Events for May 28, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-16/","Events for May 16, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-04/","Events for May 4, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/may-4-veteran-career-transition-brief-jobs-resources/","Veteran Career Transition Brief Insider Tips Jobs Resources May 4 5-7pm - Veterans Transition Support (VTS)","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-24/","Events for May 24, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-12/","Events for May 12, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/250-osha-30-hr-construction-safety-in-person-only-may-2-3-9-10-2026/","$250 OSHA 30 Hr Construction Safety | In Person ONLY May 2-3 & 9-10 2026 - Veterans Transition Support (VTS)","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-31/","Events for May 31, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/may-4-veteran-career-transition-brief-jobs-resources-on-zoom/","May 4: Veteran Career Transition Brief – Jobs & Resources On Zoom - Veterans Transition Support (VTS)","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/event/free-lean-six-sigma-yellow-belt-live-instructor-led-zoom-may-30-2026/","FREE Lean Six Sigma Yellow Belt | Live Instructor-Led Zoom | May 30 2026 - Veterans Transition Support (VTS)","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/events/month/2026-04/","Events for April 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-may-4-8-8-5pm-pst/","$250 ZOOM ONLINE 5 Day LEAN Six Sigma Green Belt MAY 4-8 8-5pm PST - Veterans Transition Support (VTS)","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-09/","Events for May 9, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-29/","Events for May 29, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-05/","Events for May 5, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-17/","Events for May 17, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-25/","Events for May 25, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-13/","Events for May 13, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-01/","Events for May 1, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/free-osha-10-hour-safety-training-may-02-03-san-marcos-ca/","FREE OSHA 10-Hour Safety Training |May 02-03 | San Marcos CA - Veterans Transition Support (VTS)","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-21/","Events for May 21, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-05-30-31-06-6-7-8-5pm-pst/","$250 ZOOM ONLINE 5 Day LEAN Six Sigma Green Belt 05/30-31, 06/6-7 8-5pm PST - Veterans Transition Support (VTS)","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-20/","Events for May 20, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/free-osha-accident-investigation-recordkeeping-course-live-zoom-may-1/","FREE OSHA Accident Investigation & Recordkeeping Course Live Zoom | May 1 - Veterans Transition Support (VTS)","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/event/250-osha-30-hr-general-safety-live-instruction-04-11-12-18-19-2026/","$250 OSHA 30 Hr. General Safety Live Instruction 04/11-12 & 18-19 2026 - Veterans Transition Support (VTS)","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-06/","Events for May 6, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-18/","Events for May 18, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/today/","Events for May 14, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-26/","Events for May 26, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-10/","Events for May 10, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-14/","Events for May 14, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/month/2026-06/","Events for June 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-02/","Events for May 2, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-22/","Events for May 22, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-may-30-31-jun-6-7-8-5pmpst/","$250 ZOOM ONLINE 5 Day LEAN Six Sigma Green Belt MAY 30-31-JUN 6-7 8-5pmPST - Veterans Transition Support (VTS)","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/events/2026-04-30/","Events for April 30, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-19/","Events for May 19, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-27/","Events for May 27, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-07/","Events for May 7, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/","Events from April 14, 2025 – May 20, 2025 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-15/","Events for May 15, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/free-lean-six-sigma-yellow-belt-live-instructor-led-zoom-may-4-2026/","FREE Lean Six Sigma Yellow Belt | Live Instructor-Led Zoom | May 4 2026 - Veterans Transition Support (VTS)","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/events/month/","Events for May 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-03/","Events for May 3, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-23/","Events for May 23, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-11/","Events for May 11, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-30/","Events for May 30, 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/may-30-veteran-career-transition-brief-jobs-resources/","May 30: Veteran Career Transition Brief – Jobs & Resources - Veterans Transition Support (VTS)","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/organizer/veterans-transition-support-vts/","Veterans Transition Support - Veterans Transition Support (VTS)","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/venue/vts/","Veterans Transition Support - Veterans Transition Support (VTS)","0","","","","","","","Indexable",""
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-12","Events from April 14, 2025 – May 20, 2025 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-24","Events from April 14, 2025 – May 20, 2025 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-04","Events from April 14, 2025 – May 20, 2025 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-16","Events from April 14, 2025 – May 20, 2025 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-28","Events from April 14, 2025 – May 20, 2025 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-08","Events from April 14, 2025 – May 20, 2025 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/month/2026-05/","Events for May 2026 – Veterans Transition Support (VTS)","0","","","","","","","Non-Indexable","Canonicalised"
