"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://www.instagram.com/veteranstransitionsupport/","text/html; charset=""utf-8""","200","OK","Indexable","","267","0.235","",""
"https://www.facebook.com/veteranstransitionsupport","text/html; charset=""utf-8""","200","OK","Indexable","","267","1.343","",""
"https://www.linkedin.com/company/veterans-transition-support/","text/html; charset=utf-8","200","OK","Indexable","","267","0.985","",""
"https://www.eventbrite.com/o/veterans-transition-support-7544018039","text/html; charset=utf-8","200","OK","Indexable","","185","1.668","",""
"https://www.googletagmanager.com/gtag/js?id=GT-5MJKMCSH","application/javascript; charset=UTF-8","200","OK","Indexable","","0","0.477","",""
"https://www.googletagmanager.com/ns.html?id=GTM-54N2JWJ6","text/html; charset=UTF-8","200","OK","Indexable","","0","0.295","",""
"https://www.zeffy.com/en-US/donation-form/support-veterans-transition-support","text/html; charset=utf-8","200","OK","Indexable","","93","1.074","",""
"https://www.guidestar.org/profile/47-1391543","text/html; charset=utf-8","200","OK","Indexable","","90","1.419","",""
"https://www.youtube.com/channel/UC9_dpSRs9FMZy5eQBemcrEA","text/html; charset=utf-8","200","OK","Indexable","","267","0.187","",""
"https://greatnonprofits.org/org/veterans-transition-support","text/html; charset=utf-8","200","OK","Indexable","","89","0.312","",""
"https://twitter.com/supportavet","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","267","0.303","https://x.com/supportavet","HTTP Redirect"
"https://www.eventzilla.net/o/tricountycareeracademy","text/html; charset=utf-8","200","OK","Indexable","","178","0.727","",""
"https://www.eventbrite.com/organizations/events","text/html; charset=utf-8","302","FOUND","Non-Indexable","Redirected","2","1.480","https://www.eventbrite.com/login/?referrer=/organizations/events","HTTP Redirect"
"https://acrobat.adobe.com/id/urn:aaid:sc:us:d42e5360-aab9-4b4a-a89c-6c118dcced15","text/html","200","OK","Indexable","","1","0.974","",""
"https://drive.google.com/file/d/1tTDb5Z-7OpHSeZw8ekYJdh2LFl01OH7T/view?usp=sharing","text/html; charset=utf-8","200","OK","Indexable","","1","0.423","",""
"https://drive.google.com/file/d/1Ubc0ehyaiVdwfiF_ii5ba3NoGDl7-CAf/view?usp=sharing","text/html; charset=utf-8","200","OK","Indexable","","1","0.574","",""
"https://drive.google.com/file/d/12GipALJ1wNj4ulD_1Oh124g-41gtLd1o/view?usp=drive_link","text/html; charset=utf-8","200","OK","Indexable","","1","0.599","",""
"https://drive.google.com/file/d/1lGc_BbKaF07bX7Y5JsLgWw72I_m1Zoxw/view?usp=drive_link","text/html; charset=utf-8","200","OK","Indexable","","1","0.454","",""
"https://drive.google.com/file/d/18AyKrI1c10sJDkT0Q77SaFsXH3tENtLd/view?usp=drive_link","text/html; charset=utf-8","200","OK","Indexable","","1","0.408","",""
"https://drive.google.com/file/d/1hdhAXb6nb7pO9RRm1LUpQIN_NEMt34c2/view?usp=sharing","text/html; charset=utf-8","200","OK","Indexable","","1","0.693","",""
"https://drive.google.com/file/d/12AMLzANwbo6bl2-WlVER7-OUfcNvNxQN/view?usp=drive_link","text/html; charset=utf-8","200","OK","Indexable","","1","0.408","",""
"https://drive.google.com/file/d/1NTca40jUzlhYdVLEgYMlpJIL3G4o7Lay/view?usp=sharing","text/html; charset=utf-8","200","OK","Indexable","","1","0.387","",""
"https://drive.google.com/file/d/16MxIEl6Uar24hSdMdksapSwe_MZvTHL-/view?usp=sharing","text/html; charset=utf-8","200","OK","Indexable","","1","0.395","",""
"https://www.va.gov/education/about-gi-bill-benefits/how-to-use-benefits/work-study/","text/html","200","OK","Indexable","","2","0.811","",""
"http://www.coursera.org/","text/html","301","Moved Permanently","Non-Indexable","Redirected","1","0.049","https://www.coursera.org/","HTTP Redirect"
"https://www.va.gov/service-member-benefits/","text/html","200","OK","Indexable","","1","0.543","",""
"http://www.dir.ca.gov/dosh/training.htm","text/html","200","OK","Indexable","","1","0.303","",""
"http://www.vetctap.org/","text/html","301","Moved Permanently","Non-Indexable","Redirected","2","0.594","https://www.vetctap.org/","HTTP Redirect"
"http://www.onward2opportunity.com/","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","1","0.241","https://ivmf.syracuse.edu/programs/career-training/","HTTP Redirect"
"https://www.vba.va.gov/pubs/forms/vba-22-8691-are.pdf","application/pdf","200","OK","Indexable","","2","0.839","",""
"http://live-timely-r1q1dyvun7.time.ly/event/business-career-transitioning-seminar-formerly-business-101/","","0","DNS lookup failed","Non-Indexable","No Response","1","","",""
"https://tricountycareeracademy.com/","text/html;charset=utf-8","200","OK","Indexable","","1","0.166","",""
"http://www.veteranaid.org/about.php","text/html","301","Moved Permanently","Non-Indexable","Redirected","1","0.219","https://www.veteranaid.org/about.php","HTTP Redirect"
"https://extendedstudies.ucsd.edu/osha","text/html; charset=utf-8","200","OK","Indexable","","1","0.298","",""
"https://veterans.my.site.com/s/","text/html;charset=UTF-8","200","OK","Indexable","","1","0.579","",""
"https://alison.com/","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0.258","",""
"http://admissions.yale.edu/veterans","","301","Moved Permanently","Non-Indexable","Redirected","1","0.039","https://admissions.yale.edu/veterans","HTTP Redirect"
"https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id=ZFCWEA6PY4M26","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","3","","",""
"http://www.easterseals.com/southerncal/our-programs/military-veterans-services/?referrer=https://www.google.com/","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","1","","",""
"https://training.fema.gov/is/","text/html; charset=utf-8","200","OK","Indexable","","1","0.962","",""
"https://www.marshall.usc.edu/mbv","text/html; charset=utf-8","302","Found","Non-Indexable","Redirected","1","0.857","https://www.marshall.usc.edu/programs/graduate-programs/specialized-masters/master-of-business-for-veterans","HTTP Redirect"
"https://gs.columbia.edu/veterans","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0.388","",""
"https://www.eventbrite.com/e/165655358637","application/json","301","Moved Permanently","Non-Indexable","Redirected","1","0.992","https://www.eventbrite.com/e/no-cost-on-line-coursera-certification-courses-for-military-and-spouse-tickets-165655358637","HTTP Redirect"
"https://www.cool.osd.mil/usmc/index.html","","0","DNS lookup failed","Non-Indexable","No Response","1","","",""
"https://www.veteranscrisisline.net/?gad_source=1&gclid=Cj0KCQiAqL28BhCrARIsACYJvkcEVLg3-sgKPqacs_FMIZ1hBZOtlzmazEyH437hostwOrB8umOz-C8aAtSZEALw_wcB","text/html; charset=utf-8","200","OK","Indexable","","1","0.765","",""
"http://vets.syr.edu/employment/vctp-certification-paths/","text/html","301","Moved Permanently","Non-Indexable","Redirected","1","0.038","https://vets.syr.edu/employment/vctp-certification-paths/","HTTP Redirect"
"http://www.va.gov/health/","text/html","301","Moved Permanently","Non-Indexable","Redirected","1","0.550","https://www.va.gov/health/","HTTP Redirect"
"http://www.benefits.va.gov/gibill/","text/html","302","Object Moved","Non-Indexable","Redirected","1","0.582","https://benefits.va.gov/gibill/","HTTP Redirect"
"https://www.csudh.edu/osha/","text/html;charset=UTF-8","200","OK","Indexable","","1","1.188","",""
"https://www.vanc.me/","text/html; charset=utf-8","200","OK","Indexable","","1","0.994","",""
"https://www.va.gov/homeless/nationalcallcenter.asp","text/html","200","OK","Indexable","","1","0.803","",""
"https://www.va.gov/careers-employment/","text/html","200","OK","Indexable","","1","1.136","",""
"https://www.vets.gov/education/","text/html","302","Moved Temporarily","Non-Indexable","Redirected","1","0.887","https://www.va.gov/education/","HTTP Redirect"
"https://www.caregiver.va.gov/help_landing.asp","text/html","200","OK","Indexable","","1","0.232","",""
"https://docs.google.com/document/d/0B40m1ltn60mBSjhMNXJuTHRYNl9HVHdxRnc0aV9xNnJ4MHRr/edit?usp=sharing&ouid=108829696945427369909&resourcekey=0-Ei7Ob8k_uGWlD9WtggwiHg&rtpof=true&sd=true","text/html; charset=utf-8","200","OK","Indexable","","1","0.665","",""
"https://www.eventbrite.com/e/pre-discharge-va-disability-claim-prep-active-duty-zoom-may-19-registration-1988136771603","text/html; charset=utf-8","200","OK","Indexable","","1","0.948","",""
"https://www.eventbrite.com/e/zoom-osha-30-hour-construction-safety-course-may-18-21-2026-250-registration-1988427327664","text/html; charset=utf-8","200","OK","Indexable","","1","0.415","",""
"https://www.eventbrite.com/e/free-on-line-coursera-certification-courses-for-military-and-spouse-tickets-1988688208967","text/html; charset=utf-8","200","OK","Indexable","","1","0.827","",""
"https://form.jotform.com/VTSvolunteers/vts-volunteer-application-","text/html; charset=utf-8","200","OK","Indexable","","1","2.118","",""
"https://www.eventbrite.com/e/250-osha-30-hr-construction-safety-in-person-only-may-2-3-9-10-2026-registration-1987252547866","text/html; charset=utf-8","200","OK","Indexable","","1","1.161","",""
"https://www.eventbrite.com/e/veteran-career-transition-brief-insider-tips-jobs-resources-may-4-5-7pm-tickets-1988181967786","text/html; charset=utf-8","200","OK","Indexable","","1","1.412","",""
