"Address","Status Code","Title 1","Indexability","Indexability Status"
"https://veteranstransitionsupport.org/","200","Military To Civilian Career Transition & Job Training | San Diego","Indexable",""
"https://veteranstransitionsupport.org/donate/","200","Military Transition Programs For Veterans | VTS Nonprofit","Indexable",""
"https://veteranstransitionsupport.org/osha-30-training-for-veterans/","200","OSHA 30 Training For Veterans, Get Certified For $250","Indexable",""
"https://veteranstransitionsupport.org/about-us/","200","About Veterans Transition Support | Veteran Nonprofit","Indexable",""
"https://veteranstransitionsupport.org/no-cost-coursera/","200","Military Transition Programs For Veterans | VTS Nonprofit","Indexable",""
"https://veteranstransitionsupport.org/events/","200","Events for May 2026 – Veterans Transition Support (VTS)","Indexable",""
"https://veteranstransitionsupport.org/education-counseling/","200","Military Transition Programs For Veterans | VTS Nonprofit","Indexable",""
"https://veteranstransitionsupport.org/financials/","200","Military Transition Programs For Veterans | VTS Nonprofit","Indexable",""
"https://veteranstransitionsupport.org/no-cost-lean-six-sigma-yellow-belt-lssyb/","200","Military Transition Programs For Veterans | VTS Nonprofit","Indexable",""
"https://veteranstransitionsupport.org/va-work-study-program/","200","Military Transition Programs For Veterans | VTS Nonprofit","Indexable",""
"https://veteranstransitionsupport.org/veteran-resources/","200","Military Transition Programs For Veterans | VTS Nonprofit","Indexable",""
"https://veteranstransitionsupport.org/board-members/","200","Military Transition Programs For Veterans | VTS Nonprofit","Indexable",""
"https://veteranstransitionsupport.org/donors-sponsors/","200","Military Transition Programs For Veterans | VTS Nonprofit","Indexable",""
"https://veteranstransitionsupport.org/va-work-study-program-2/","200","VA Work Study Program For Veterans","Indexable",""
"https://veteranstransitionsupport.org/va-disability-filing/","200","Military Transition Programs For Veterans | VTS Nonprofit","Indexable",""
"https://veteranstransitionsupport.org/event/pre-discharge-va-disability-claim-prep-active-duty-zoom-may-19/","200","Pre-Discharge VA Disability Claim Prep (Active Duty Zoom) – May 19 - Veterans Transition Support (VTS)","Indexable",""
"https://veteranstransitionsupport.org/volunteer-team/","200","Military Transition Programs For Veterans | VTS Nonprofit","Indexable",""
"https://veteranstransitionsupport.org/event/zoom-osha-30-hour-construction-safety-course-may-18-21-2026-250/","200","ZOOM OSHA 30-Hour Construction Safety Course MAY 18-21 2026 $250 - Veterans Transition Support (VTS)","Indexable",""
"https://veteranstransitionsupport.org/cdn-cgi/l/email-protection","404","","Non-Indexable","Client Error"
"https://veteranstransitionsupport.org/va-home-loans/","200","Military Transition Programs For Veterans | VTS Nonprofit","Indexable",""
"https://veteranstransitionsupport.org/testimonies/","200","Military Transition Programs For Veterans | VTS Nonprofit","Indexable",""
"https://veteranstransitionsupport.org/vts-programs/","200","Military Transition Programs For Veterans | VTS Nonprofit","Indexable",""
"https://veteranstransitionsupport.org/no-cost-osha-10-safety-training/","200","Military Transition Programs For Veterans | VTS Nonprofit","Indexable",""
"https://veteranstransitionsupport.org/our-instructors/","200","Military Transition Programs For Veterans | VTS Nonprofit","Indexable",""
"https://veteranstransitionsupport.org/contact-us/","200","Contact Us For Veteran Transition Training & Vital Resources","Indexable",""
"https://veteranstransitionsupport.org/event/free-on-line-coursera-certification-courses-for-military-and-spouse/","200","Free On-Line Coursera Certification Courses For Military And Spouse - Veterans Transition Support (VTS)","Indexable",""
"https://veteranstransitionsupport.org/gallery/","200","Military Transition Programs For Veterans | VTS Nonprofit","Indexable",""
"https://veteranstransitionsupport.org/volunteer/","200","Military Transition Programs For Veterans | VTS Nonprofit","Indexable",""
"https://veteranstransitionsupport.org/career-transition-program/","404","","Non-Indexable","Client Error"
"https://veteranstransitionsupport.org/leansixsigmagreenbelt-for-veterans/","200","Lean Six Sigma Green Belt For Veterans In Transition","Indexable",""
"https://veteranstransitionsupport.org/privacy-policy/","200","Military Transition Programs For Veterans | VTS Nonprofit","Indexable",""
"https://veteranstransitionsupport.org/events-calendar/","200","Military Transition Programs For Veterans | VTS Nonprofit","Indexable",""
"https://veteranstransitionsupport.org/osha-30-safety-training/","200","Military Transition Programs For Veterans | VTS Nonprofit","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-08/","200","Events for May 8, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-28/","200","Events for May 28, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-16/","200","Events for May 16, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-04/","200","Events for May 4, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/may-4-veteran-career-transition-brief-jobs-resources/","200","Veteran Career Transition Brief Insider Tips Jobs Resources May 4 5-7pm - Veterans Transition Support (VTS)","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-24/","200","Events for May 24, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-12/","200","Events for May 12, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/250-osha-30-hr-construction-safety-in-person-only-may-2-3-9-10-2026/","200","$250 OSHA 30 Hr Construction Safety | In Person ONLY May 2-3 & 9-10 2026 - Veterans Transition Support (VTS)","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-31/","200","Events for May 31, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/may-4-veteran-career-transition-brief-jobs-resources-on-zoom/","200","May 4: Veteran Career Transition Brief – Jobs & Resources On Zoom - Veterans Transition Support (VTS)","Indexable",""
"https://veteranstransitionsupport.org/event/free-lean-six-sigma-yellow-belt-live-instructor-led-zoom-may-30-2026/","200","FREE Lean Six Sigma Yellow Belt | Live Instructor-Led Zoom | May 30 2026 - Veterans Transition Support (VTS)","Indexable",""
"https://veteranstransitionsupport.org/events/month/2026-04/","200","Events for April 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-may-4-8-8-5pm-pst/","200","$250 ZOOM ONLINE 5 Day LEAN Six Sigma Green Belt MAY 4-8 8-5pm PST - Veterans Transition Support (VTS)","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-09/","200","Events for May 9, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-29/","200","Events for May 29, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-05/","200","Events for May 5, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-17/","200","Events for May 17, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-25/","200","Events for May 25, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-13/","200","Events for May 13, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-01/","200","Events for May 1, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/free-osha-10-hour-safety-training-may-02-03-san-marcos-ca/","200","FREE OSHA 10-Hour Safety Training |May 02-03 | San Marcos CA - Veterans Transition Support (VTS)","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-21/","200","Events for May 21, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-05-30-31-06-6-7-8-5pm-pst/","200","$250 ZOOM ONLINE 5 Day LEAN Six Sigma Green Belt 05/30-31, 06/6-7 8-5pm PST - Veterans Transition Support (VTS)","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-20/","200","Events for May 20, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/free-osha-accident-investigation-recordkeeping-course-live-zoom-may-1/","200","FREE OSHA Accident Investigation & Recordkeeping Course Live Zoom | May 1 - Veterans Transition Support (VTS)","Indexable",""
"https://veteranstransitionsupport.org/event/250-osha-30-hr-general-safety-live-instruction-04-11-12-18-19-2026/","200","$250 OSHA 30 Hr. General Safety Live Instruction 04/11-12 & 18-19 2026 - Veterans Transition Support (VTS)","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-06/","200","Events for May 6, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-18/","200","Events for May 18, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/today/","200","Events for May 14, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-26/","200","Events for May 26, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-10/","200","Events for May 10, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-14/","200","Events for May 14, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/month/2026-06/","200","Events for June 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-02/","200","Events for May 2, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-22/","200","Events for May 22, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-may-30-31-jun-6-7-8-5pmpst/","200","$250 ZOOM ONLINE 5 Day LEAN Six Sigma Green Belt MAY 30-31-JUN 6-7 8-5pmPST - Veterans Transition Support (VTS)","Indexable",""
"https://veteranstransitionsupport.org/events/2026-04-30/","200","Events for April 30, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-19/","200","Events for May 19, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-27/","200","Events for May 27, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-07/","200","Events for May 7, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/","200","Events from April 14, 2025 – May 20, 2025 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-15/","200","Events for May 15, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/free-lean-six-sigma-yellow-belt-live-instructor-led-zoom-may-4-2026/","200","FREE Lean Six Sigma Yellow Belt | Live Instructor-Led Zoom | May 4 2026 - Veterans Transition Support (VTS)","Indexable",""
"https://veteranstransitionsupport.org/events/month/","200","Events for May 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-03/","200","Events for May 3, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-23/","200","Events for May 23, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-11/","200","Events for May 11, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-30/","200","Events for May 30, 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/may-30-veteran-career-transition-brief-jobs-resources/","200","May 30: Veteran Career Transition Brief – Jobs & Resources - Veterans Transition Support (VTS)","Indexable",""
"https://veteranstransitionsupport.org/organizer/veterans-transition-support-vts/","200","Veterans Transition Support - Veterans Transition Support (VTS)","Indexable",""
"http://www.veteranstransitionsupport.org/","301","","Non-Indexable","Redirected"
"https://veteranstransitionsupport.org/venue/vts/","200","Veterans Transition Support - Veterans Transition Support (VTS)","Indexable",""
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-12","200","Events from April 14, 2025 – May 20, 2025 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-24","200","Events from April 14, 2025 – May 20, 2025 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-04","200","Events from April 14, 2025 – May 20, 2025 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-16","200","Events from April 14, 2025 – May 20, 2025 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-28","200","Events from April 14, 2025 – May 20, 2025 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-08","200","Events from April 14, 2025 – May 20, 2025 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/month/2026-05/","200","Events for May 2026 – Veterans Transition Support (VTS)","Non-Indexable","Canonicalised"
